id	source_file	line	verb	english_pattern	handler	synonyms
"command.PUT.05"	"gsyntax.zil"	"388"	"PUT"	"PUT OUT OBJECT (FIND ONBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE HAVE)"	"V-LAMP-OFF"	"HIDE INSERT PLACE STUFF"
"command.PUT.06"	"gsyntax.zil"	"390"	"PUT"	"PUT ON OBJECT (IN-ROOM ON-GROUND CARRIED MANY)"	"V-WEAR"	"HIDE INSERT PLACE STUFF"
"command.PUT.07"	"gsyntax.zil"	"391"	"PUT"	"PUT OBJECT (HELD MANY HAVE) BEHIND OBJECT"	"V-PUT-BEHIND"	"HIDE INSERT PLACE STUFF"
"command.RAISE.01"	"gsyntax.zil"	"394"	"RAISE"	"RAISE OBJECT"	"V-RAISE"	"LIFT"
"command.RAISE.02"	"gsyntax.zil"	"395"	"RAISE"	"RAISE UP OBJECT"	"V-RAISE"	"LIFT"
"command.RAPE.01"	"gsyntax.zil"	"398"	"RAPE"	"RAPE OBJECT (FIND ACTORBIT)"	"V-RAPE"	"MOLEST"
"command.READ.01"	"gsyntax.zil"	"401"	"READ"	"READ OBJECT (FIND READBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE)"	"V-READ PRE-READ"	"SKIM"
"command.READ.02"	"gsyntax.zil"	"403"	"READ"	"READ FROM OBJECT (FIND READBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE)"	"V-READ PRE-READ"	"SKIM"
"command.READ.03"	"gsyntax.zil"	"405"	"READ"	"READ OBJECT (FIND READBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE) WITH OBJECT"	"V-READ PRE-READ"	"SKIM"
"command.READ.04"	"gsyntax.zil"	"407"	"READ"	"READ OBJECT (FIND READBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE) OBJECT"	"V-READ-PAGE"	"SKIM"
"command.REPENT.01"	"gsyntax.zil"	"411"	"REPENT"	"REPENT"	"V-REPENT"	""
"command.RING.01"	"gsyntax.zil"	"413"	"RING"	"RING OBJECT (TAKE)"	"V-RING"	"PEAL"
"command.RING.02"	"gsyntax.zil"	"414"	"RING"	"RING OBJECT (TAKE) WITH OBJECT"	"V-RING"	"PEAL"
"command.RUB.01"	"gsyntax.zil"	"417"	"RUB"	"RUB OBJECT"	"V-RUB"	"FEEL PAT PET TOUCH"
"command.RUB.02"	"gsyntax.zil"	"418"	"RUB"	"RUB OBJECT WITH OBJECT"	"V-RUB"	"FEEL PAT PET TOUCH"
"command.TALK.01"	"gsyntax.zil"	"421"	"TALK"	"TALK TO OBJECT (FIND ACTORBIT) (IN-ROOM)"	"V-TELL"	""
"command.SAY.01"	"gsyntax.zil"	"422"	"SAY"	"SAY"	"V-SAY"	""
"command.SEARCH.01"	"gsyntax.zil"	"424"	"SEARCH"	"SEARCH OBJECT"	"V-SEARCH"	""
"command.SEARCH.02"	"gsyntax.zil"	"425"	"SEARCH"	"SEARCH IN OBJECT"	"V-SEARCH"	""
"command.SEARCH.03"	"gsyntax.zil"	"426"	"SEARCH"	"SEARCH FOR OBJECT"	"V-FIND"	""
"command.SEND.01"	"gsyntax.zil"	"428"	"SEND"	"SEND FOR OBJECT"	"V-SEND"	""
"command.SHAKE.01"	"gsyntax.zil"	"430"	"SHAKE"	"SHAKE OBJECT (HAVE)"	"V-SHAKE"	""
"command.SKIP.01"	"gsyntax.zil"	"432"	"SKIP"	"SKIP"	"V-SKIP"	"HOP"
"command.SLIDE.01"	"gsyntax.zil"	"435"	"SLIDE"	"SLIDE OBJECT UNDER OBJECT"	"V-PUT-UNDER"	""
"command.SLIDE.02"	"gsyntax.zil"	"436"	"SLIDE"	"SLIDE OBJECT (IN-ROOM ON-GROUND) OBJECT"	"V-PUSH-TO"	""
"command.SLIDE.03"	"gsyntax.zil"	"437"	"SLIDE"	"SLIDE OBJECT (IN-ROOM ON-GROUND) TO OBJECT"	"V-PUSH-TO"	""
"command.SMELL.01"	"gsyntax.zil"	"439"	"SMELL"	"SMELL OBJECT"	"V-SMELL"	"SNIFF"
"command.SPIN.01"	"gsyntax.zil"	"442"	"SPIN"	"SPIN OBJECT"	"V-SPIN"	""
"command.SPRAY.01"	"gsyntax.zil"	"444"	"SPRAY"	"SPRAY OBJECT ON OBJECT"	"V-SPRAY"	""
"command.SPRAY.02"	"gsyntax.zil"	"445"	"SPRAY"	"SPRAY OBJECT WITH OBJECT"	"V-SSPRAY"	""
"command.SQUEEZE.01"	"gsyntax.zil"	"447"	"SQUEEZE"	"SQUEEZE OBJECT"	"V-SQUEEZE"	""
"command.SQUEEZE.02"	"gsyntax.zil"	"448"	"SQUEEZE"	"SQUEEZE OBJECT ON OBJECT"	"V-PUT PRE-PUT"	""
"command.STAND.01"	"gsyntax.zil"	"450"	"STAND"	"STAND"	"V-STAND"	""
"command.STAND.02"	"gsyntax.zil"	"451"	"STAND"	"STAND UP OBJECT (FIND RMUNGBIT)"	"V-STAND"	""
"command.STAY.01"	"gsyntax.zil"	"453"	"STAY"	"STAY"	"V-STAY"	""
"command.STRIKE.01"	"gsyntax.zil"	"455"	"STRIKE"	"STRIKE OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM) WITH OBJECT (FIND WEAPONBIT) (HELD CARRIED ON-GROUND IN-ROOM HAVE)"	"V-ATTACK"	""
"command.STRIKE.02"	"gsyntax.zil"	"457"	"STRIKE"	"STRIKE OBJECT (ON-GROUND IN-ROOM HELD CARRIED)"	"V-STRIKE"	""
"command.SWIM.01"	"gsyntax.zil"	"459"	"SWIM"	"SWIM"	"V-SWIM"	"BATHE WADE"
"command.SWIM.02"	"gsyntax.zil"	"460"	"SWIM"	"SWIM IN OBJECT"	"V-SWIM"	"BATHE WADE"
"command.SWIM.03"	"gsyntax.zil"	"461"	"SWIM"	"SWIM ACROSS OBJECT"	"V-SWIM"	"BATHE WADE"
"command.SWING.01"	"gsyntax.zil"	"464"	"SWING"	"SWING OBJECT (FIND WEAPONBIT) (HELD CARRIED HAVE)"	"V-SWING"	"THRUST"
"command.SWING.02"	"gsyntax.zil"	"465"	"SWING"	"SWING OBJECT (FIND WEAPONBIT) (HELD CARRIED HAVE) AT OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM)"	"V-SWING"	"THRUST"
"command.TAKE.01"	"gsyntax.zil"	"469"	"TAKE"	"TAKE OBJECT (FIND TAKEBIT) (ON-GROUND IN-ROOM MANY)"	"V-TAKE PRE-TAKE"	"CARRY CATCH GET GRAB HOLD REMOVE"
"command.TAKE.02"	"gsyntax.zil"	"470"	"TAKE"	"TAKE IN OBJECT (FIND VEHBIT) (ON-GROUND IN-ROOM)"	"V-BOARD PRE-BOARD"	"CARRY CATCH GET GRAB HOLD REMOVE"
"command.TAKE.03"	"gsyntax.zil"	"471"	"TAKE"	"TAKE OUT OBJECT (FIND RMUNGBIT) (ON-GROUND IN-ROOM)"	"V-DISEMBARK"	"CARRY CATCH GET GRAB HOLD REMOVE"
"command.TAKE.04"	"gsyntax.zil"	"472"	"TAKE"	"TAKE ON OBJECT (FIND VEHBIT) (ON-GROUND IN-ROOM)"	"V-CLIMB-ON"	"CARRY CATCH GET GRAB HOLD REMOVE"
"command.TAKE.05"	"gsyntax.zil"	"473"	"TAKE"	"TAKE UP OBJECT (FIND RMUNGBIT)"	"V-STAND"	"CARRY CATCH GET GRAB HOLD REMOVE"
"command.TAKE.06"	"gsyntax.zil"	"474"	"TAKE"	"TAKE OBJECT (FIND TAKEBIT) (CARRIED IN-ROOM MANY) OUT OBJECT"	"V-TAKE PRE-TAKE"	"CARRY CATCH GET GRAB HOLD REMOVE"
"command.TAKE.07"	"gsyntax.zil"	"476"	"TAKE"	"TAKE OBJECT (FIND TAKEBIT) (CARRIED IN-ROOM MANY) OFF OBJECT"	"V-TAKE PRE-TAKE"	"CARRY CATCH GET GRAB HOLD REMOVE"
"command.TAKE.08"	"gsyntax.zil"	"478"	"TAKE"	"TAKE OBJECT (FIND TAKEBIT) (IN-ROOM CARRIED MANY) FROM OBJECT"	"V-TAKE PRE-TAKE"	"CARRY CATCH GET GRAB HOLD REMOVE"
"command.TELL.01"	"gsyntax.zil"	"482"	"TELL"	"TELL OBJECT (FIND ACTORBIT) (IN-ROOM)"	"V-TELL"	"ASK"
"command.TELL.02"	"gsyntax.zil"	"483"	"TELL"	"TELL OBJECT (FIND ACTORBIT) (IN-ROOM) ABOUT OBJECT"	"V-TELL"	"ASK"
"command.THROW.01"	"gsyntax.zil"	"486"	"THROW"	"THROW OBJECT (HELD CARRIED HAVE) AT OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM)"	"V-THROW"	"CHUCK HURL TOSS"
"command.THROW.02"	"gsyntax.zil"	"488"	"THROW"	"THROW OBJECT (HELD CARRIED HAVE) WITH OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM)"	"V-THROW"	"CHUCK HURL TOSS"
"command.THROW.03"	"gsyntax.zil"	"490"	"THROW"	"THROW OBJECT OBJECT"	"V-OVERBOARD"	"CHUCK HURL TOSS"
"command.THROW.04"	"gsyntax.zil"	"491"	"THROW"	"THROW OBJECT (HELD CARRIED HAVE) IN OBJECT"	"V-PUT PRE-PUT"	"CHUCK HURL TOSS"
"command.THROW.05"	"gsyntax.zil"	"492"	"THROW"	"THROW OBJECT (HELD CARRIED HAVE) ON OBJECT"	"V-PUT-ON PRE-PUT"	"CHUCK HURL TOSS"
"command.THROW.06"	"gsyntax.zil"	"493"	"THROW"	"THROW OBJECT (HELD CARRIED HAVE) OFF OBJECT"	"V-THROW-OFF"	"CHUCK HURL TOSS"
"command.THROW.07"	"gsyntax.zil"	"494"	"THROW"	"THROW OBJECT (HELD CARRIED HAVE) OVER OBJECT"	"V-THROW-OFF"	"CHUCK HURL TOSS"
"command.TIE.01"	"gsyntax.zil"	"497"	"TIE"	"TIE OBJECT TO OBJECT"	"V-TIE"	"ATTACH FASTEN SECURE"
"command.TIE.02"	"gsyntax.zil"	"498"	"TIE"	"TIE UP OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM) WITH OBJECT (FIND TOOLBIT) (ON-GROUND IN-ROOM HELD CARRIED HAVE)"	"V-TIE-UP"	"ATTACH FASTEN SECURE"
"command.TREASURE.01"	"gsyntax.zil"	"502"	"TREASURE"	"TREASURE"	"V-TREASURE"	"TEMPLE"
"command.TURN.01"	"gsyntax.zil"	"505"	"TURN"	"TURN OBJECT (FIND TURNBIT) (HELD CARRIED ON-GROUND IN-ROOM) WITH OBJECT (FIND RMUNGBIT)"	"V-TURN PRE-TURN"	"FLIP SET SHUT"
"command.TURN.02"	"gsyntax.zil"	"507"	"TURN"	"TURN ON OBJECT (FIND LIGHTBIT) (HELD CARRIED ON-GROUND IN-ROOM)"	"V-LAMP-ON"	"FLIP SET SHUT"
"command.TURN.03"	"gsyntax.zil"	"509"	"TURN"	"TURN ON OBJECT WITH OBJECT (HAVE)"	"V-LAMP-ON"	"FLIP SET SHUT"
"command.TURN.04"	"gsyntax.zil"	"510"	"TURN"	"TURN OFF OBJECT (FIND ONBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE HAVE)"	"V-LAMP-OFF"	"FLIP SET SHUT"
"command.TURN.05"	"gsyntax.zil"	"512"	"TURN"	"TURN OBJECT (FIND TURNBIT) TO OBJECT"	"V-TURN PRE-TURN"	"FLIP SET SHUT"
"command.TURN.06"	"gsyntax.zil"	"513"	"TURN"	"TURN OBJECT (FIND TURNBIT) FOR OBJECT"	"V-TURN PRE-TURN"	"FLIP SET SHUT"
"command.UNLOCK.01"	"gsyntax.zil"	"516"	"UNLOCK"	"UNLOCK OBJECT (ON-GROUND IN-ROOM) WITH OBJECT (FIND TOOLBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE)"	"V-UNLOCK"	""
"command.UNTIE.01"	"gsyntax.zil"	"519"	"UNTIE"	"UNTIE OBJECT (ON-GROUND IN-ROOM HELD CARRIED)"	"V-UNTIE"	"FREE RELEASE UNATTACH UNFASTEN UNHOOK"
"command.UNTIE.02"	"gsyntax.zil"	"520"	"UNTIE"	"UNTIE OBJECT (ON-GROUND IN-ROOM HELD CARRIED) FROM OBJECT"	"V-UNTIE"	"FREE RELEASE UNATTACH UNFASTEN UNHOOK"
"command.WAIT.01"	"gsyntax.zil"	"524"	"WAIT"	"WAIT"	"V-WAIT"	"Z"
"command.WAKE.01"	"gsyntax.zil"	"527"	"WAKE"	"WAKE OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM)"	"V-ALARM"	"AWAKE STARTLE SURPRISE"
"command.WAKE.02"	"gsyntax.zil"	"528"	"WAKE"	"WAKE UP OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM)"	"V-ALARM"	"AWAKE STARTLE SURPRISE"
"command.WALK.01"	"gsyntax.zil"	"531"	"WALK"	"WALK"	"V-WALK-AROUND"	"GO PROCEED RUN STEP"
"command.WALK.02"	"gsyntax.zil"	"532"	"WALK"	"WALK OBJECT"	"V-WALK"	"GO PROCEED RUN STEP"
"command.WALK.03"	"gsyntax.zil"	"533"	"WALK"	"WALK AWAY OBJECT"	"V-WALK"	"GO PROCEED RUN STEP"
"command.WALK.04"	"gsyntax.zil"	"534"	"WALK"	"WALK IN OBJECT"	"V-THROUGH"	"GO PROCEED RUN STEP"
"command.WALK.05"	"gsyntax.zil"	"535"	"WALK"	"WALK WITH OBJECT"	"V-THROUGH"	"GO PROCEED RUN STEP"
"command.WALK.06"	"gsyntax.zil"	"536"	"WALK"	"WALK ON OBJECT"	"V-THROUGH"	"GO PROCEED RUN STEP"
"command.WALK.07"	"gsyntax.zil"	"537"	"WALK"	"WALK OVER OBJECT"	"V-LEAP"	"GO PROCEED RUN STEP"
"command.WALK.08"	"gsyntax.zil"	"538"	"WALK"	"WALK TO OBJECT"	"V-WALK-TO"	"GO PROCEED RUN STEP"
"command.WALK.09"	"gsyntax.zil"	"539"	"WALK"	"WALK AROUND OBJECT"	"V-WALK-AROUND"	"GO PROCEED RUN STEP"
"command.WALK.10"	"gsyntax.zil"	"540"	"WALK"	"WALK UP OBJECT (FIND CLIMBBIT) (ON-GROUND IN-ROOM)"	"V-CLIMB-UP"	"GO PROCEED RUN STEP"
"command.WALK.11"	"gsyntax.zil"	"541"	"WALK"	"WALK DOWN OBJECT (FIND CLIMBBIT) (ON-GROUND IN-ROOM)"	"V-CLIMB-DOWN"	"GO PROCEED RUN STEP"
"command.WAVE.01"	"gsyntax.zil"	"544"	"WAVE"	"WAVE OBJECT (HELD CARRIED TAKE HAVE)"	"V-WAVE"	"BRANDISH"
"command.WAVE.02"	"gsyntax.zil"	"545"	"WAVE"	"WAVE OBJECT (HELD CARRIED TAKE HAVE) AT OBJECT"	"V-WAVE"	"BRANDISH"
"command.WAVE.03"	"gsyntax.zil"	"546"	"WAVE"	"WAVE AT OBJECT"	"V-WAVE"	"BRANDISH"
"command.WEAR.01"	"gsyntax.zil"	"549"	"WEAR"	"WEAR OBJECT"	"V-WEAR"	""
"command.WIN.01"	"gsyntax.zil"	"551"	"WIN"	"WIN"	"V-WIN"	"WINNAGE"
"command.WIND.01"	"gsyntax.zil"	"554"	"WIND"	"WIND OBJECT"	"V-WIND"	""
"command.WIND.02"	"gsyntax.zil"	"555"	"WIND"	"WIND UP OBJECT"	"V-WIND"	""
"command.WISH.01"	"gsyntax.zil"	"557"	"WISH"	"WISH"	"V-WISH"	""
"command.YELL.01"	"gsyntax.zil"	"559"	"YELL"	"YELL"	"V-YELL"	"SCREAM SHOUT"
"command.ZORK.01"	"gsyntax.zil"	"562"	"ZORK"	"ZORK"	"V-ZORK"	""
