"id"	"english"	"translation"	"status"	"notes"	"source_file"	"line"	"object"	"property"
"object.GUIDE.TEXT"	"""\tFlood Control Dam #3|\n|\nFCD#3 was constructed in year 783 of the Great Underground Empire to\nharness the mighty Frigid River. This work was supported by a grant of\n37 million zorkmids from your omnipotent local tyrant Lord Dimwit\nFlathead the Excessive. This impressive structure is composed of\n370,000 cubic feet of concrete, is 256 feet tall at the center, and 193\nfeet wide at the top. The lake created behind the dam has a volume\nof 1.7 billion cubic feet, an area of 12 million square feet, and a\nshore line of 36 thousand feet.|\n|\nThe construction of FCD#3 took 112 days from ground breaking to\nthe dedication. It required a work force of 384 slaves, 34 slave\ndrivers, 12 engineers, 2 turtle doves, and a partridge in a pear\ntree. The work was managed by a command team composed of 2345\nbureaucrats, 2347 secretaries (at least two of whom could type),\n12,256 paper shufflers, 52,469 rubber stampers, 245,193 red tape\nprocessors, and nearly one million dead trees.|\n|\nWe will now point out some of the more interesting features\nof FCD#3 as we conduct you on a guided tour of the facilities:|\n|\n        1) You start your tour here in the Dam Lobby. You will notice\non your right that...."	"""\tFlood Control Dam #3|\n|\nFCD#3 was constructed in year 783 of the Great Underground Empire to\nharness the mighty Frigid River. This work was supported by a grant of\n37 million zorkmids from your omnipotent local tyrant Lord Dimwit\nFlathead the Excessive. This impressive structure is composed of\n370,000 cubic feet of concrete, is 256 feet tall at the center, and 193\nfeet wide at the top. The lake created behind the dam has a volume\nof 1.7 billion cubic feet, an area of 12 million square feet, and a\nshore line of 36 thousand feet.|\n|\nThe construction of FCD#3 took 112 days from ground breaking to\nthe dedication. It required a work force of 384 slaves, 34 slave\ndrivers, 12 engineers, 2 turtle doves, and a partridge in a pear\ntree. The work was managed by a command team composed of 2345\nbureaucrats, 2347 secretaries (at least two of whom could type),\n12,256 paper shufflers, 52,469 rubber stampers, 245,193 red tape\nprocessors, and nearly one million dead trees.|\n|\nWe will now point out some of the more interesting features\nof FCD#3 as we conduct you on a guided tour of the facilities:|\n|\n        1) You start your tour here in the Dam Lobby. You will notice\non your right that...."	"source"	"原文表示"	"1dungeon.zil"	"1011"	"GUIDE"	"TEXT"
"object.TROLL.DESC"	"troll"	"troll"	"source"	"原文表示"	"1dungeon.zil"	"1040"	"TROLL"	"DESC"
"object.TROLL.LDESC"	"A nasty-looking troll, brandishing a bloody axe, blocks all passages\nout of the room."	"A nasty-looking troll, brandishing a bloody axe, blocks all passages\nout of the room."	"source"	"原文表示"	"1dungeon.zil"	"1044"	"TROLL"	"LDESC"
"object.TRUNK.DESC"	"trunk of jewels"	"trunk of jewels"	"source"	"原文表示"	"1dungeon.zil"	"1052"	"TRUNK"	"DESC"
"object.TRUNK.FDESC"	"Lying half buried in the mud is an old trunk, bulging with jewels."	"Lying half buried in the mud is an old trunk, bulging with jewels."	"source"	"原文表示"	"1dungeon.zil"	"1055"	"TRUNK"	"FDESC"
"object.TRUNK.LDESC"	"There is an old trunk here, bulging with assorted jewels."	"There is an old trunk here, bulging with assorted jewels."	"source"	"原文表示"	"1dungeon.zil"	"1056"	"TRUNK"	"LDESC"
"object.TUBE.DESC"	"tube"	"tube"	"source"	"原文表示"	"1dungeon.zil"	"1065"	"TUBE"	"DESC"
"object.TUBE.LDESC"	"There is an object which looks like a tube of toothpaste here."	"There is an object which looks like a tube of toothpaste here."	"source"	"原文表示"	"1dungeon.zil"	"1069"	"TUBE"	"LDESC"
"object.TUBE.TEXT"	"---> Frobozz Magic Gunk Company <---|\n\t  All-Purpose Gunk"	"---> Frobozz Magic Gunk Company <---|\n\t  All-Purpose Gunk"	"source"	"原文表示"	"1dungeon.zil"	"1073"	"TUBE"	"TEXT"
"object.PUTTY.DESC"	"viscous material"	"viscous material"	"source"	"原文表示"	"1dungeon.zil"	"1080"	"PUTTY"	"DESC"
"object.ENGRAVINGS.DESC"	"wall with engravings"	"wall with engravings"	"source"	"原文表示"	"1dungeon.zil"	"1089"	"ENGRAVINGS"	"DESC"
"object.ENGRAVINGS.LDESC"	"There are old engravings on the walls here."	"There are old engravings on the walls here."	"source"	"原文表示"	"1dungeon.zil"	"1091"	"ENGRAVINGS"	"LDESC"
"object.ENGRAVINGS.TEXT"	"The engravings were incised in the living rock of the cave wall by\nan unknown hand. They depict, in symbolic form, the beliefs of the\nancient Zorkers. Skillfully interwoven with the bas reliefs are excerpts\nillustrating the major religious tenets of that time. Unfortunately, a\nlater age seems to have considered them blasphemous and just as skillfully\nexcised them."	"The engravings were incised in the living rock of the cave wall by\nan unknown hand. They depict, in symbolic form, the beliefs of the\nancient Zorkers. Skillfully interwoven with the bas reliefs are excerpts\nillustrating the major religious tenets of that time. Unfortunately, a\nlater age seems to have considered them blasphemous and just as skillfully\nexcised them."	"source"	"原文表示"	"1dungeon.zil"	"1093"	"ENGRAVINGS"	"TEXT"
"object.OWNERS-MANUAL.DESC"	"ZORK owner's manual"	"ZORK owner's manual"	"source"	"原文表示"	"1dungeon.zil"	"1104"	"OWNERS-MANUAL"	"DESC"
"object.OWNERS-MANUAL.FDESC"	"Loosely attached to a wall is a small piece of paper."	"Loosely attached to a wall is a small piece of paper."	"source"	"原文表示"	"1dungeon.zil"	"1106"	"OWNERS-MANUAL"	"FDESC"
"object.OWNERS-MANUAL.TEXT"	"Congratulations!|\n|\nYou are the privileged owner of ZORK I: The Great Underground Empire,\na self-contained and self-maintaining universe. If used and maintained\nin accordance with normal operating practices for small universes, ZORK\nwill provide many months of trouble-free operation."	"Congratulations!|\n|\nYou are the privileged owner of ZORK I: The Great Underground Empire,\na self-contained and self-maintaining universe. If used and maintained\nin accordance with normal operating practices for small universes, ZORK\nwill provide many months of trouble-free operation."	"source"	"原文表示"	"1dungeon.zil"	"1108"	"OWNERS-MANUAL"	"TEXT"
"object.CLIMBABLE-CLIFF.DESC"	"cliff"	"cliff"	"source"	"原文表示"	"1dungeon.zil"	"1119"	"CLIMBABLE-CLIFF"	"DESC"
"object.WHITE-CLIFF.DESC"	"white cliffs"	"white cliffs"	"source"	"原文表示"	"1dungeon.zil"	"1127"	"WHITE-CLIFF"	"DESC"
"object.WRENCH.DESC"	"wrench"	"wrench"	"source"	"原文表示"	"1dungeon.zil"	"1134"	"WRENCH"	"DESC"
"object.CONTROL-PANEL.DESC"	"control panel"	"control panel"	"source"	"原文表示"	"1dungeon.zil"	"1142"	"CONTROL-PANEL"	"DESC"
"object.NEST.DESC"	"bird's nest"	"bird's nest"	"source"	"原文表示"	"1dungeon.zil"	"1149"	"NEST"	"DESC"
"object.NEST.FDESC"	"Beside you on the branch is a small bird's nest."	"Beside you on the branch is a small bird's nest."	"source"	"原文表示"	"1dungeon.zil"	"1151"	"NEST"	"FDESC"
"object.EGG.DESC"	"jewel-encrusted egg"	"jewel-encrusted egg"	"source"	"原文表示"	"1dungeon.zil"	"1158"	"EGG"	"DESC"
"object.EGG.FDESC"	"In the bird's nest is a large egg encrusted with precious jewels,\napparently scavenged by a childless songbird. The egg is covered with\nfine gold inlay, and ornamented in lapis lazuli and mother-of-pearl.\nUnlike most eggs, this one is hinged and closed with a delicate looking\nclasp. The egg appears extremely fragile."	"In the bird's nest is a large egg encrusted with precious jewels,\napparently scavenged by a childless songbird. The egg is covered with\nfine gold inlay, and ornamented in lapis lazuli and mother-of-pearl.\nUnlike most eggs, this one is hinged and closed with a delicate looking\nclasp. The egg appears extremely fragile."	"source"	"原文表示"	"1dungeon.zil"	"1165"	"EGG"	"FDESC"
"object.BROKEN-EGG.DESC"	"broken jewel-encrusted egg"	"broken jewel-encrusted egg"	"source"	"原文表示"	"1dungeon.zil"	"1174"	"BROKEN-EGG"	"DESC"
"object.BROKEN-EGG.LDESC"	"There is a somewhat ruined egg here."	"There is a somewhat ruined egg here."	"source"	"原文表示"	"1dungeon.zil"	"1178"	"BROKEN-EGG"	"LDESC"
"object.BAUBLE.DESC"	"beautiful brass bauble"	"beautiful brass bauble"	"source"	"原文表示"	"1dungeon.zil"	"1183"	"BAUBLE"	"DESC"
"object.CANARY.DESC"	"golden clockwork canary"	"golden clockwork canary"	"source"	"原文表示"	"1dungeon.zil"	"1192"	"CANARY"	"DESC"
"object.CANARY.FDESC"	"There is a golden clockwork canary nestled in the egg. It has ruby\neyes and a silver beak. Through a crystal window below its left\nwing you can see intricate machinery inside. It appears to have\nwound down."	"There is a golden clockwork canary nestled in the egg. It has ruby\neyes and a silver beak. Through a crystal window below its left\nwing you can see intricate machinery inside. It appears to have\nwound down."	"source"	"原文表示"	"1dungeon.zil"	"1198"	"CANARY"	"FDESC"
"object.BROKEN-CANARY.DESC"	"broken clockwork canary"	"broken clockwork canary"	"source"	"原文表示"	"1dungeon.zil"	"1207"	"BROKEN-CANARY"	"DESC"
"object.BROKEN-CANARY.FDESC"	"There is a golden clockwork canary nestled in the egg. It seems to\nhave recently had a bad experience. The mountings for its jewel-like\neyes are empty, and its silver beak is crumpled. Through a cracked\ncrystal window below its left wing you can see the remains of\nintricate machinery. It is not clear what result winding it would\nhave, as the mainspring seems sprung."	"There is a golden clockwork canary nestled in the egg. It seems to\nhave recently had a bad experience. The mountings for its jewel-like\neyes are empty, and its silver beak is crumpled. Through a cracked\ncrystal window below its left wing you can see the remains of\nintricate machinery. It is not clear what result winding it would\nhave, as the mainspring seems sprung."	"source"	"原文表示"	"1dungeon.zil"	"1212"	"BROKEN-CANARY"	"FDESC"
"object.LOCAL-GLOBALS.FDESC"	"F"	"F"	"source"	"原文表示"	"gglobals.zil"	"18"	"LOCAL-GLOBALS"	"FDESC"
"object.LOCAL-GLOBALS.LDESC"	"F"	"F"	"source"	"原文表示"	"gglobals.zil"	"19"	"LOCAL-GLOBALS"	"LDESC"
"object.INTNUM.DESC"	"number"	"number"	"source"	"原文表示"	"gglobals.zil"	"35"	"INTNUM"	"DESC"
"object.PSEUDO-OBJECT.DESC"	"pseudo"	"pseudo"	"source"	"原文表示"	"gglobals.zil"	"39"	"PSEUDO-OBJECT"	"DESC"
"object.IT.DESC"	"random object"	"random object"	"source"	"原文表示"	"gglobals.zil"	"45"	"IT"	"DESC"
"object.NOT-HERE-OBJECT.DESC"	"such thing"	"such thing"	"source"	"原文表示"	"gglobals.zil"	"49"	"NOT-HERE-OBJECT"	"DESC"
"object.BLESSINGS.DESC"	"blessings"	"blessings"	"source"	"原文表示"	"gglobals.zil"	"99"	"BLESSINGS"	"DESC"
"object.STAIRS.DESC"	"stairs"	"stairs"	"source"	"原文表示"	"gglobals.zil"	"106"	"STAIRS"	"DESC"
"object.SAILOR.DESC"	"sailor"	"sailor"	"source"	"原文表示"	"gglobals.zil"	"118"	"SAILOR"	"DESC"
"object.GROUND.DESC"	"ground"	"ground"	"source"	"原文表示"	"gglobals.zil"	"167"	"GROUND"	"DESC"
"object.GRUE.DESC"	"lurking grue"	"lurking grue"	"source"	"原文表示"	"gglobals.zil"	"188"	"GRUE"	"DESC"
"object.LUNGS.DESC"	"blast of air"	"blast of air"	"source"	"原文表示"	"gglobals.zil"	"211"	"LUNGS"	"DESC"
"object.ME.DESC"	"you"	"you"	"source"	"原文表示"	"gglobals.zil"	"217"	"ME"	"DESC"
"object.ADVENTURER.DESC"	"cretin"	"cretin"	"source"	"原文表示"	"gglobals.zil"	"269"	"ADVENTURER"	"DESC"
"object.PATHOBJ.DESC"	"passage"	"passage"	"source"	"原文表示"	"gglobals.zil"	"278"	"PATHOBJ"	"DESC"
"object.ZORKMID.DESC"	"zorkmid"	"zorkmid"	"source"	"原文表示"	"gglobals.zil"	"293"	"ZORKMID"	"DESC"
"object.HANDS.DESC"	"pair of hands"	"pair of hands"	"source"	"原文表示"	"gglobals.zil"	"308"	"HANDS"	"DESC"
